	Temperature	Rain	Zipcode	Count	Month	Hour	Weekday
342	43.0	0.0	10014	5	1	2	4
343	43.0	0.0	10016	480	1	2	4
344	43.0	0.0	10017	1102	1	2	4
345	43.0	0.0	10018	10	1	2	4
346	43.0	0.0	10019	69	1	2	4
347	43.0	0.0	10020	771	1	2	4
348	43.0	0.0	10021	190	1	2	4
349	43.0	0.0	10022	622	1	2	4
350	43.0	0.0	10023	692	1	2	4
351	43.0	0.0	10024	555	1	2	4
352	43.0	0.0	10025	455	1	2	4
353	43.0	0.0	10026	221	1	2	4
354	43.0	0.0	10027	208	1	2	4
355	43.0	0.0	10028	81	1	2	4
356	43.0	0.0	10029	477	1	2	4
357	43.0	0.0	10030	177	1	2	4
358	43.0	0.0	10031	253	1	2	4
359	43.0	0.0	10032	18	1	2	4
360	43.0	0.0	10033	68	1	2	4
361	43.0	0.0	10034	4	1	2	4
362	43.0	0.0	10035	451	1	2	4
363	43.0	0.0	10036	520	1	2	4
364	43.0	0.0	10037	151	1	2	4
365	43.0	0.0	10038	657	1	2	4
366	43.0	0.0	10040	66	1	2	4
367	43.0	0.0	10044	1314	1	2	4
368	43.0	0.0	10065	814	1	2	4
369	43.0	0.0	10075	1086	1	2	4
370	43.0	0.0	10128	237	1	2	4
371	43.0	0.0	10451	117	1	2	4
372	43.0	0.0	10452	156	1	2	4
373	43.0	0.0	10453	42	1	2	4
374	43.0	0.0	10454	73	1	2	4
375	43.0	0.0	10455	44	1	2	4
376	43.0	0.0	10456	87	1	2	4
377	43.0	0.0	10457	90	1	2	4
378	43.0	0.0	10458	50	1	2	4
379	43.0	0.0	10459	17	1	2	4
380	43.0	0.0	10460	20	1	2	4
381	43.0	0.0	10461	6	1	2	4
382	43.0	0.0	10462	18	1	2	4
383	43.0	0.0	10463	13	1	2	4
384	43.0	0.0	10465	6	1	2	4
385	43.0	0.0	10466	4	1	2	4
386	43.0	0.0	10467	20	1	2	4
387	43.0	0.0	10468	35	1	2	4
388	43.0	0.0	10469	12	1	2	4
389	43.0	0.0	10470	2	1	2	4
390	43.0	0.0	10471	1	1	2	4
391	43.0	0.0	10472	24	1	2	4
392	43.0	0.0	10473	21	1	2	4
393	43.0	0.0	10474	29	1	2	4
394	43.0	0.0	10475	4	1	2	4
395	43.0	0.0	10583	1	1	2	4
396	43.0	0.0	10591	2	1	2	4
397	43.0	0.0	10704	1	1	2	4
398	43.0	0.0	10705	1	1	2	4
399	43.0	0.0	10801	1	1	2	4
400	43.0	0.0	10805	1	1	2	4
401	43.0	0.0	11003	2	1	2	4
402	43.0	0.0	11010	93	1	2	4
